start_date_local_formatted,name,sport_type,distance (miles),moving_time (minutes),pace (min_per_mile),pace_formatted,elevation_gain (feet),average_heartrate,max_heartrate,hr_ratio (0-1),hr_zone (1-5),zone_1_time_minutes,zone_2_time_minutes,zone_3_time_minutes,zone_4_time_minutes,zone_5_time_minutes,trimp (score),id
"Aug 30, 2026 01:57 PM",Lunch Manual-Labor,Manual-Labor,0.0,26.9828,,,0.0,96,127,0.295231,1,26.9828,0.0,0.0,0.0,0.0,14.0419,4434c7d1-21ce-40d5-b7e3-a21bf6ffa4f8
"Aug 30, 2026 12:14 PM",Lunch Ride,Ride,0.0,40.9823,,,0.0,107,143,0.378501,1,39.949,1.0333,0.0,0.0,0.0,32.083,a8f1bd1d-aee2-4eb5-adf7-d6300b89632d
"Aug 29, 2026 01:58 PM",Lunch Walk,Walk,0.0,13.983,,,0.0,106,119,0.370931,1,13.983,0.0,0.0,0.0,0.0,10.5729,e5bb4776-0e48-45f6-a156-ab0381de539e
"Aug 29, 2026 12:07 PM",Lunch Walk,Walk,0.0,26.983,,,0.0,105,123,0.363361,1,26.983,0.0,0.0,0.0,0.0,19.6977,df8ec20e-c9e6-4d2f-97a9-a84649d0d80a
"Aug 29, 2026 11:21 AM",Lunch Run,Run,3.154347,29.4503,9.3364,9:20 /mi,95.34,152,171,0.719152,3,3.3832,5.1998,19.233,1.6333,0.0,84.2503,8d99718a-350c-4099-ac76-92f57f71b643
"Aug 28, 2026 02:42 PM",Afternoon Weight Training,WeightTraining,0.0,58.1418,,,0.0,104,139,0.355791,1,58.1323,0.0167,0.0,0.0,0.0,40.9598,33a57833-cb5a-4c7c-94f8-0d953e4ff2d3
"Aug 27, 2026 05:54 PM",Evening Walk,Walk,0.0,13.983,,,0.0,106,119,0.370931,1,13.983,0.0,0.0,0.0,0.0,10.5729,84eb3275-1606-4c8f-8a63-cea7579e0657
"Aug 25, 2026 09:20 PM",Night Manual-Labor,Manual-Labor,0.0,27.9953,,,0.0,117,141,0.454201,1,27.866,0.1167,0.0,0.0,0.0,30.4136,e67e3c24-c1c7-46a5-a40a-0372ee1037d3
"Aug 25, 2026 03:13 PM",Afternoon Walk,Walk,0.0,26.983,,,0.0,108,132,0.386071,1,26.983,0.0,0.0,0.0,0.0,21.8616,6d376114-7a2f-45ec-86c1-8d05a2a1b4b2
"Aug 25, 2026 02:31 PM",Afternoon Run,Run,0.986352,9.6962,9.8303,9:50 /mi,89.67,137,158,0.605602,2,4.3333,2.6167,2.7332,0.0,0.0,18.783,2021232a-e397-4c06-8adf-0788cf52377a
"Aug 25, 2026 12:41 PM",Lunch Manual-Labor,Manual-Labor,0.0,25.9828,,,0.0,101,120,0.333081,1,25.9828,0.0,0.0,0.0,0.0,16.4049,5fd74097-2b2d-4bde-9bb3-7a2e789b5a6a
"Aug 24, 2026 05:07 PM",Evening Weight Training,WeightTraining,0.0,64.8529,,,0.0,108,151,0.386071,1,62.649,2.1998,0.0,0.0,0.0,52.5437,97c87b3c-bfd7-4912-85a5-55895c500c03
"Aug 23, 2026 05:11 PM",Evening Walk,Walk,0.0,14.9795,,,0.0,107,122,0.378501,1,14.9795,0.0,0.0,0.0,0.0,11.7267,600c9823-fa50-4ad6-836f-ebab26a86248
"Aug 23, 2026 10:26 AM",Morning Walk,Walk,0.0,17.983,,,0.0,102,118,0.340651,1,17.983,0.0,0.0,0.0,0.0,11.7821,bc22aad8-5b50-4341-ad2d-02807d65b31d
"Aug 22, 2026 08:57 AM",Morning Golf,Golf,0.0,13.9833,,,0.0,98,124,0.310371,1,13.9497,0.0,0.0,0.0,0.0,7.8758,a27db5a1-d0bf-447f-9f82-7869b12181b2
"Aug 21, 2026 07:28 PM",Evening Run,Run,1.393157,13.8294,9.9266,9:56 /mi,170.53,147,167,0.681302,2,1.7833,4.6665,7.0833,0.3,0.0,34.8532,6530102d-6bcf-40b9-ba4f-404a35d4845e
"Aug 21, 2026 12:07 PM",Lunch Walk,Walk,0.0,15.985,,,0.0,98,120,0.310371,1,15.985,0.0,0.0,0.0,0.0,9.0032,f23a05ac-561f-4019-b310-ab571f70f403
"Aug 20, 2026 05:36 PM",Evening Weight Training,WeightTraining,0.0,55.3503,,,0.0,109,152,0.393641,1,54.1655,1.1333,0.05,0.0,0.0,46.3934,327615fb-3e24-4f55-8f97-c257d13776c8
"Aug 18, 2026 11:57 PM",Night Walk,Walk,0.0,30.9827,,,0.0,109,127,0.393641,1,30.9827,0.0,0.0,0.0,0.0,25.969,963ff6cc-7295-43b7-9734-8b04f0fd5a96
"Aug 18, 2026 09:59 PM",Night Walk,Walk,0.0,18.9828,,,0.0,109,120,0.393641,1,18.9828,0.0,0.0,0.0,0.0,15.911,7930af00-e3ad-4ecb-9ce6-a72778f257b5
"Aug 18, 2026 06:49 PM",Evening Walk,Walk,0.0,19.9908,,,0.0,104,129,0.355791,1,19.9908,0.0,0.0,0.0,0.0,14.0832,6d0309bb-7955-4272-bf81-4fdcbc6ba544
"Aug 17, 2026 04:26 PM",Afternoon Weight Training,WeightTraining,0.0,60.4997,,,0.0,113,155,0.423921,1,55.4992,4.2832,0.7167,0.0,0.0,57.8793,8ed806e1-b29d-4920-92c9-bb55c0db0dd0
"Aug 16, 2026 10:13 AM",Morning Manual-Labor,Manual-Labor,0.0,73.9818,,,0.0,109,135,0.393641,1,73.9818,0.0,0.0,0.0,0.0,62.01,89b614f3-25ee-4911-9855-d750aa67a468
"Aug 15, 2026 06:59 PM",Evening Activity,Activity,0.0,40.9825,,,0.0,121,151,0.484481,1,35.6827,5.2998,0.0,0.0,0.0,50.3336,7269db62-d731-44e5-b67c-782b3a245d68
"Aug 15, 2026 05:48 PM",Evening Walk,Walk,0.0,13.983,,,0.0,95,111,0.287661,1,13.983,0.0,0.0,0.0,0.0,6.9879,65c69112-00fd-4f6b-a4e6-bfca394d3de7
"Aug 15, 2026 11:29 AM",Lunch Weight Training,WeightTraining,0.0,49.0363,,,0.0,100,137,0.325511,1,49.0323,0.0,0.0,0.0,0.0,29.8201,fb6ede66-ee11-4943-8747-d9402b6cf881
"Aug 14, 2026 06:52 PM",Evening Walk,Walk,0.0,13.9997,,,0.0,100,108,0.325511,1,13.9997,0.0,0.0,0.0,0.0,8.5135,a133ff4d-f764-428c-bece-022bd0da8ec6
"Aug 14, 2026 03:56 PM",Afternoon Walk,Walk,0.0,19.983,,,0.0,117,142,0.454201,1,19.733,0.25,0.0,0.0,0.0,21.7092,4787a0df-2ca8-4b13-b00a-3fccbc221546
"Aug 14, 2026 11:10 AM",Lunch Run,Run,3.212336,31.5833,9.8319,9:50 /mi,80.75,145,169,0.666162,2,3.95,13.4163,14.0165,0.2,0.0,75.5986,dacafbb4-6180-4f4f-862a-ffafd844f15d
"Aug 13, 2026 02:56 PM",Afternoon Weight Training,WeightTraining,0.0,60.1969,,,0.0,108,156,0.386071,1,58.0655,1.65,0.4833,0.0,0.0,48.7714,c09b97a9-32a0-4d51-9f3f-ade38f589078
"Aug 12, 2026 06:14 PM",Evening Run,Run,2.365345,21.061,8.904,8:54 /mi,793.09,152,174,0.719152,3,1.9333,3.8498,11.6333,3.6498,0.0,60.2507,8ad9bf7c-c45c-4912-811a-c8aa02501396
"Aug 12, 2026 01:16 PM",Lunch Weight Training,WeightTraining,0.0,62.9339,,,0.0,102,143,0.340651,1,62.4988,0.4333,0.0,0.0,0.0,41.233,759b5965-5356-456f-a6ce-08536d699d14
"Aug 11, 2026 06:55 PM",Evening Ride,Ride,0.0,30.0048,,,0.0,117,139,0.454201,1,29.8827,0.1333,0.0,0.0,0.0,32.5966,8a397e9a-706d-442b-889f-c6104d316c62
"Aug 11, 2026 05:46 PM",Evening Walk,Walk,0.0,22.9828,,,0.0,90,117,0.249811,1,22.9828,0.0,0.0,0.0,0.0,9.2751,0944fa5d-315d-46d7-bc8a-1602110f4aa7
"Aug 11, 2026 12:25 PM",Lunch Weight Training,WeightTraining,0.0,61.305,,,0.0,98,141,0.310371,1,60.6988,0.6,0.0,0.0,0.0,34.5285,e759d0ba-14f8-4932-8feb-764e76f320bd
"Aug 10, 2026 08:58 PM",Evening Weight Training,WeightTraining,0.0,15.983,,,0.0,97,140,0.302801,1,15.933,0.05,0.0,0.0,0.0,8.6557,21f825bf-1614-4b24-98b1-e281f31d25a6
"Aug 10, 2026 08:58 PM",Evening Other,Other,0.0,15.9833,,,0.0,97,140,0.302801,1,15.933,0.05,0.0,0.0,0.0,8.6559,9a035c88-6c41-4be0-b04a-a240640d892d
"Aug 10, 2026 06:44 PM",Evening Weight Training,WeightTraining,0.0,20.983,,,0.0,94,124,0.280091,1,20.983,0.0,0.0,0.0,0.0,10.0628,61ec17f1-627d-40f8-ab3a-62d6cc152819
"Aug 10, 2026 06:44 PM",Evening Other,Other,0.0,20.9833,,,0.0,94,124,0.280091,1,20.983,0.0,0.0,0.0,0.0,10.063,a5e6913d-53e7-4c7c-bbdf-99cf05764b56
"Aug 10, 2026 12:35 PM",Lunch Weight Training,WeightTraining,0.0,61.1133,,,0.0,107,144,0.378501,1,60.5487,0.5667,0.0,0.0,0.0,47.8426,28bfb090-ca68-4068-8d60-45f598720b24
"Aug 09, 2026 08:29 AM",Morning Golf,Golf,5.539137,213.1067,38.4729,38:28 /mi,982.89,107,135,0.378501,1,208.3788,0.0,0.0,0.0,0.0,166.8306,18be943b-9bba-43db-903d-7881261b4bd1
"Aug 09, 2026 07:30 AM",Morning Activity,Activity,0.0,59.406,,,0.0,108,139,0.386071,1,59.3488,0.0667,0.0,0.0,0.0,48.1306,29d7a3ba-b96e-4271-8bb9-d187b15c6a85
"Aug 08, 2026 02:28 PM",Afternoon Walk,Walk,0.0,12.9832,,,0.0,105,137,0.363361,1,12.9832,0.0,0.0,0.0,0.0,9.4778,b341e170-83fb-4a7c-81a5-f2189ae167ac
"Aug 08, 2026 01:03 PM",Lunch Run,Run,1.346754,12.4293,9.2291,9:14 /mi,182.22,143,171,0.651022,2,3.5,3.9498,4.3667,0.6167,0.0,28.242,f23d0989-1005-480c-b857-415ac49804d5
"Aug 08, 2026 11:07 AM",Lunch Activity,Activity,0.0,52.9823,,,0.0,101,132,0.333081,1,52.9823,0.0,0.0,0.0,0.0,33.4518,04c61e99-f859-4778-add9-e7cb9a687337
"Aug 08, 2026 09:38 AM",Morning Manual-Labor,Manual-Labor,0.0,59.9822,,,0.0,96,135,0.295231,1,59.9822,0.0,0.0,0.0,0.0,31.2148,91102c88-69d8-4845-a62a-9008a1086bc2
"Aug 07, 2026 06:33 PM",Evening Cleaning,Cleaning,0.0,25.9828,,,0.0,105,120,0.363361,1,25.9828,0.0,0.0,0.0,0.0,18.9676,516ad1db-a896-41f1-afd8-1ea848fe5b47
"Aug 06, 2026 08:54 PM",Evening Walk,Walk,0.0,48.9823,,,0.0,104,125,0.355791,1,48.9823,0.0,0.0,0.0,0.0,34.5072,c25c6852-3b56-49a9-9caf-4c614d3cc760
"Aug 06, 2026 05:57 PM",Evening Walk,Walk,0.0,26.9828,,,0.0,89,110,0.242241,1,26.9828,0.0,0.0,0.0,0.0,10.407,37f824f9-80ac-4580-8f5e-b6db7c848f41
"Aug 06, 2026 02:39 PM",Afternoon Walk,Walk,0.0,40.9823,,,0.0,101,121,0.333081,1,40.9823,0.0,0.0,0.0,0.0,25.8753,9152ef38-d92e-45aa-b286-7d08c2fd89cd
"Aug 05, 2026 10:32 PM",Night Walk,Walk,0.0,24.9828,,,0.0,104,129,0.355791,1,24.9828,0.0,0.0,0.0,0.0,17.6,4b1bb5e7-fd49-4389-93d8-6d75afc2a097
"Aug 03, 2026 08:03 PM",Evening Walk,Walk,0.0,15.983,,,0.0,103,119,0.348221,1,15.983,0.0,0.0,0.0,0.0,10.8612,1bfff68c-27fe-4159-bf6a-9b57ef701c2d
"Aug 03, 2026 07:00 PM",Evening Walk,Walk,0.0,17.983,,,0.0,101,119,0.333081,1,17.983,0.0,0.0,0.0,0.0,11.354,fa0f82a4-4202-4111-99e7-b49ff8941494
"Aug 03, 2026 05:54 PM",Evening Run,Run,1.987315,20.3983,10.2642,10:16 /mi,223.41,142,161,0.643452,2,5.7667,9.283,5.35,0.0,0.0,45.149,14d94042-db62-416b-8f54-6b1d47310894
"Aug 02, 2026 05:18 PM",Evening Walk,Walk,0.0,40.0358,,,0.0,103,125,0.348221,1,40.0493,0.0,0.0,0.0,0.0,27.2061,274c2b27-7f6d-431f-aa66-e96c2d63ccb6
"Aug 02, 2026 01:53 PM",Lunch Walk,Walk,0.0,67.0,,,0.0,97,120,0.302801,1,66.9985,0.0,0.0,0.0,0.0,36.2845,f87fb000-d292-4b7b-8652-9f2cb6056823
"Aug 02, 2026 01:32 PM",Lunch Ride,Ride,0.0,19.9544,,,0.0,115,130,0.439061,1,19.9497,0.0,0.0,0.0,0.0,20.3551,a3c204f2-838f-4629-9262-50ba177f8908
"Aug 02, 2026 11:51 AM",Lunch Weight Training,WeightTraining,0.0,51.0865,,,0.0,101,145,0.333081,1,50.599,0.5,0.0,0.0,0.0,32.2548,889bd1f9-e6eb-495c-94f6-f818f5749c3d
"Aug 01, 2026 05:31 PM",Evening Weight Training,WeightTraining,0.0,50.3264,,,0.0,110,141,0.401211,1,49.299,1.0333,0.0,0.0,0.0,43.6232,61090b52-1d29-467b-8cca-dadc8d3592c8
"Aug 01, 2026 01:35 PM",Lunch Golf,Golf,0.0,32.9833,,,0.0,117,139,0.454201,1,32.8825,0.1,0.0,0.0,0.0,35.8325,52e47b36-bf8d-4193-9657-c9d5aa17feb4
"Jul 31, 2026 01:03 PM",Lunch Run,Run,1.353106,12.6479,9.3473,9:21 /mi,131.61,149,168,0.696442,2,2.2167,1.9332,8.1998,0.3,0.0,33.545,5c9dda91-007d-4076-ae3d-b2a94191f610
"Jul 30, 2026 04:50 PM",Afternoon Weight Training,WeightTraining,0.0,53.5301,,,0.0,117,154,0.454201,1,47.4658,5.9832,0.0833,0.0,0.0,58.1541,a857c3fd-7885-4a6d-9ad1-a7b2c8daa0da
"Jul 29, 2026 08:11 PM",Evening Walk,Walk,0.0,20.983,,,0.0,111,120,0.408781,1,20.983,0.0,0.0,0.0,0.0,18.8026,798f6b40-89a4-484d-aba0-774daa886091
"Jul 29, 2026 07:27 PM",Evening Run,Run,1.987471,19.7543,9.9394,9:56 /mi,248.87,134,160,0.582892,1,12.5665,4.5165,2.6665,0.0,0.0,35.2608,f01c2e00-96b7-42b3-b2c8-29b76046ed30
"Jul 28, 2026 02:36 PM",Afternoon Weight Training,WeightTraining,0.0,61.2935,,,0.0,100,142,0.325511,1,61.1322,0.15,0.0,0.0,0.0,37.274,de64a807-496a-46dd-b6ce-d4ff67d9ab71
"Jul 27, 2026 07:35 PM",Evening Baseball,Baseball,0.0,100.9813,,,0.0,112,174,0.416351,1,86.5148,11.5167,2.2665,0.6833,0.0,93.5133,3af21494-7aac-424f-90ce-dad24daed34d
"Jul 27, 2026 11:25 AM",Lunch Weight Training,WeightTraining,0.0,57.0118,,,0.0,102,140,0.340651,1,56.8988,0.1,0.0,0.0,0.0,37.353,cbe35a4f-e078-4e40-a11d-81caf6bd2a3c
"Jul 26, 2026 04:47 PM",Afternoon Run,Run,1.376484,13.7224,9.9692,9:58 /mi,129.28,145,159,0.666162,2,2.5667,4.15,6.9998,0.0,0.0,32.8462,6cb28a3f-c0f5-494d-97f1-d2735b235737
"Jul 26, 2026 01:34 PM",Lunch Walk,Walk,0.0,14.983,,,0.0,94,111,0.280091,1,14.983,0.0,0.0,0.0,0.0,7.1854,d980f9ae-77b1-4969-bfaa-73d04f93dae2
"Jul 25, 2026 08:37 PM",Evening Activity,Activity,0.0,18.983,,,0.0,101,152,0.333081,1,17.883,1.0833,0.0167,0.0,0.0,11.9854,a3dde4a7-a970-4118-b09e-55e1ab5aeb07
"Jul 25, 2026 02:20 PM",Afternoon Golf,Golf,0.0,26.9833,,,0.0,91,113,0.257381,1,26.9827,0.0,0.0,0.0,0.0,11.3838,be63401d-cd46-47f6-8de5-105efba97fc3
"Jul 25, 2026 12:28 PM",Lunch Golf,Golf,0.0,43.9833,,,0.0,93,115,0.272521,1,43.999,0.0,0.0,0.0,0.0,20.2268,1ecd4f50-5b1f-4a05-8cfb-82a20a8d7acf
"Jul 24, 2026 07:57 PM",Evening Other,Other,0.0,16.9833,,,0.0,93,110,0.272521,1,16.983,0.0,0.0,0.0,0.0,7.8102,d5d7bd53-76d4-45ae-86f3-49e3ded078a2
"Jul 24, 2026 01:58 PM",Lunch Run,Run,1.548382,16.7908,10.8441,10:51 /mi,166.79,136,155,0.598032,1,5.1998,10.1163,1.4667,0.0,0.0,31.6564,d899a287-87bf-4065-9258-67b54ddb7bd6
"Jul 23, 2026 06:03 PM",Evening Weight Training,WeightTraining,0.0,39.1022,,,0.0,107,137,0.378501,1,39.116,0.0,0.0,0.0,0.0,30.6111,9ffec398-6613-4414-a04a-4884f9114030
"Jul 22, 2026 06:39 PM",Evening Run,Run,2.012551,19.1837,9.5321,9:32 /mi,264.91,146,162,0.673732,2,2.7,9.3497,7.1333,0.0,0.0,47.1204,78ddd845-173a-465d-8393-d961a5c20c7c
"Jul 21, 2026 02:58 PM",Afternoon Weight Training,WeightTraining,0.0,83.4242,,,0.0,109,154,0.393641,1,74.9985,8.2665,0.15,0.0,0.0,69.9244,5b12e316-2a41-485f-98e5-88e111b32089
"Jul 20, 2026 07:26 PM",Evening Baseball,Baseball,0.0,112.5835,,,0.0,115,179,0.439061,1,85.1982,13.2497,6.15,0.85,0.0,114.8442,7329b4dd-6fc5-4d38-92ca-dc73be00b9ee
"Jul 19, 2026 08:22 PM",Evening Walk,Walk,0.0,14.9832,,,0.0,102,114,0.340651,1,14.9832,0.0,0.0,0.0,0.0,9.8167,54391a27-6e6e-4bac-995d-2d001b094ddf
"Jul 19, 2026 06:07 PM",Evening Walk,Walk,0.0,25.9828,,,0.0,107,130,0.378501,1,25.9828,0.0,0.0,0.0,0.0,20.3407,397057e0-2764-4e4e-98d4-4750f6812db3
"Jul 19, 2026 03:33 PM",Afternoon Walk,Walk,0.0,18.983,,,0.0,96,127,0.295231,1,18.983,0.0,0.0,0.0,0.0,9.8788,44bcd786-50e4-414e-b057-cfc248d1456b
"Jul 19, 2026 02:37 PM",Afternoon Walk,Walk,0.0,12.983,,,0.0,93,114,0.272521,1,12.983,0.0,0.0,0.0,0.0,5.9706,69f73dcd-7b94-4d34-81dc-bb6659af5460
"Jul 19, 2026 01:55 PM",Lunch Walk,Walk,0.0,13.9832,,,0.0,103,112,0.348221,1,13.9832,0.0,0.0,0.0,0.0,9.5022,9a7c120a-2e3e-4bfb-8be2-7835ba4c9af7
"Jul 19, 2026 11:27 AM",Lunch Walk,Walk,0.0,21.9828,,,0.0,112,131,0.416351,1,21.9828,0.0,0.0,0.0,0.0,20.3571,fe692659-bc87-498c-b643-82971ea3615d
"Jul 19, 2026 10:40 AM",Morning Run,Run,3.455515,33.2931,9.6348,9:38 /mi,539.97,149,175,0.696442,2,1.5165,14.6165,15.5495,1.6167,0.0,88.3007,38674cb5-d885-4692-8c9e-70f9104bb4c8
"Jul 18, 2026 10:06 AM",Morning Golf,Golf,5.379491,260.5606,48.4359,48:26 /mi,692.0,89,127,0.242241,1,260.2613,0.0,0.0,0.0,0.0,100.4956,32ca181d-fc2b-4a85-960e-352287afe84b
"Jul 17, 2026 10:42 PM",Night Walk,Walk,0.0,53.9822,,,0.0,98,124,0.310371,1,53.9822,0.0,0.0,0.0,0.0,30.4041,44913679-1dd6-4e45-b76a-7a7358bfe91b
"Jul 17, 2026 07:27 PM",Evening Walk,Walk,0.0,23.9828,,,0.0,97,117,0.302801,1,23.9828,0.0,0.0,0.0,0.0,12.9881,6eb0d7b9-46cb-4c4b-b897-a2002d13dbcd
"Jul 17, 2026 06:39 PM",Evening Walk,Walk,0.0,28.9827,,,0.0,93,125,0.272521,1,28.9827,0.0,0.0,0.0,0.0,13.3284,3f81f891-906c-4050-920d-cbdc907e133c
"Jul 17, 2026 12:15 PM",Lunch Weight Training,WeightTraining,0.0,71.7618,,,0.0,88,117,0.234671,1,71.7652,0.0,0.0,0.0,0.0,26.426,ebed29f8-a373-4da9-9f39-d0696ce3034e
"Jul 16, 2026 04:06 PM",Afternoon Weight Training,WeightTraining,0.0,79.7393,,,0.0,110,147,0.401211,1,78.0485,1.7,0.0,0.0,0.0,69.1184,e3cee93b-8d57-451c-8255-70da688cfb9e
"Jul 15, 2026 06:03 PM",Evening Walk,Walk,0.0,29.9827,,,0.0,95,118,0.287661,1,29.9827,0.0,0.0,0.0,0.0,14.9836,5f0cbc44-87be-4a37-adba-67f5c3a2cabd
"Jul 15, 2026 02:17 PM",Afternoon Weight Training,WeightTraining,0.0,53.5259,,,0.0,100,149,0.325511,1,52.7823,0.7332,0.0,0.0,0.0,32.5503,901ff477-d069-4df0-a296-1c83768d2a84
"Jul 14, 2026 09:57 PM",Night Walk,Walk,0.0,30.9827,,,0.0,100,114,0.325511,1,30.9827,0.0,0.0,0.0,0.0,18.8413,145b2aec-0176-4501-a159-69a26ffe5cea
"Jul 14, 2026 07:40 PM",Evening Walk,Walk,0.0,12.9832,,,0.0,110,123,0.401211,1,12.9832,0.0,0.0,0.0,0.0,11.2539,1894a360-aa01-44e0-b5a1-da8073493ae4
"Jul 14, 2026 06:14 PM",Evening Walk,Walk,0.0,58.9822,,,0.0,111,141,0.408781,1,58.5822,0.4,0.0,0.0,0.0,52.8533,c59091d3-3a1a-48b9-a4c1-b54e1f090547
"Jul 14, 2026 03:17 PM",Afternoon Weight Training,WeightTraining,0.0,49.7885,,,0.0,115,152,0.439061,1,44.499,5.0667,0.2333,0.0,0.0,50.7883,a491a8fa-ce8c-4cda-87dd-6d6e3bab7833
"Jul 12, 2026 07:55 PM",Evening Walk,Walk,0.0,13.983,,,0.0,101,116,0.333081,1,13.983,0.0,0.0,0.0,0.0,8.8285,dcb2675f-8a2c-417f-b755-7d9072097f58
"Jul 12, 2026 12:22 PM",Lunch Weight Training,WeightTraining,0.0,71.4497,,,0.0,105,144,0.363361,1,71.1655,0.2833,0.0,0.0,0.0,52.1586,759c90cd-f153-4f6a-ba32-fa6d36257940
"Jul 11, 2026 12:13 PM",Lunch Walk,Walk,0.0,14.9833,,,0.0,99,117,0.317941,1,14.9833,0.0,0.0,0.0,0.0,8.7714,dd561819-9a33-4263-9316-6c27005d18dd
"Jul 11, 2026 10:06 AM",Morning Weight Training,WeightTraining,0.0,87.5289,,,0.0,110,169,0.401211,1,78.6317,5.2,3.3833,0.3167,0.0,75.8704,e63e515c-a497-4566-90bb-ee45663e548f
"Jul 10, 2026 06:20 PM",Evening Walk,Walk,0.0,21.9828,,,0.0,91,110,0.257381,1,21.9828,0.0,0.0,0.0,0.0,9.2742,00f6200f-289c-4d33-be36-26e5716294bd
"Jul 10, 2026 03:38 PM",Afternoon Walk,Walk,0.0,26.9827,,,0.0,107,124,0.378501,1,26.9827,0.0,0.0,0.0,0.0,21.1234,bee27e31-5074-4e6a-b3fc-52401d55f1b3
"Jul 10, 2026 02:36 PM",Afternoon Run,Run,3.139302,33.9421,10.812,10:49 /mi,480.82,143,174,0.651022,2,6.0165,18.3163,8.033,1.5833,0.0,77.1234,3e4b0293-6ab0-427d-be02-cd6706171a8d
"Jul 09, 2026 04:12 PM",Afternoon Weight Training,WeightTraining,0.0,52.0049,,,0.0,111,143,0.408781,1,50.4492,1.55,0.0,0.0,0.0,46.601,e3de4dec-e8c9-4fae-bafb-e75d73761a0c
"Jul 08, 2026 08:15 PM",Evening Walk,Walk,0.0,27.9828,,,0.0,97,113,0.302801,1,27.9828,0.0,0.0,0.0,0.0,15.1544,e2237718-93d0-4bdd-a71c-a514b327f184
"Jul 08, 2026 05:43 PM",Evening Run,Run,3.072053,29.1167,9.4779,9:29 /mi,342.91,151,168,0.711582,3,2.7498,5.6333,20.2162,0.5167,0.0,81.23,3dfccef1-d79e-4f76-976d-3917756f9146
"Jul 07, 2026 06:57 PM",Evening Walk,Walk,0.0,13.9832,,,0.0,107,133,0.378501,1,13.9832,0.0,0.0,0.0,0.0,10.9467,567b6929-afca-4187-b199-88bb3abf06c9
"Jul 07, 2026 06:13 PM",Evening Walk,Walk,0.0,12.9832,,,0.0,110,126,0.401211,1,12.9832,0.0,0.0,0.0,0.0,11.2539,da7e2518-cb19-4390-97d2-dd5f70b4e780
"Jul 07, 2026 05:19 PM",Evening Walk,Walk,0.04803,9.3625,,,6.77,126,144,0.522332,1,7.4998,1.8667,0.0,0.0,0.0,13.3316,791bb17a-63e9-4e8a-992a-91fbaf6490ca
"Jul 07, 2026 04:00 PM",Afternoon Weight Training,WeightTraining,0.0,78.245,,,0.0,105,136,0.363361,1,78.2485,0.0,0.0,0.0,0.0,57.1192,762c59e0-9e82-4d22-9c57-fee4bd675464
"Jul 06, 2026 02:05 PM",Afternoon Weight Training,WeightTraining,0.0,67.5391,,,0.0,106,139,0.370931,1,67.4987,0.05,0.0,0.0,0.0,51.0679,559d9e14-2370-4275-9640-8e7dc50f7c55
